bone,os^osseous_tissue^ivory^pearl^off-white^cram^grind_away^drum^bone_up^swot^get_up^mug_up^swot_up^debone
my,
bones,castanets^clappers^finger_cymbals^bone^os^osseous_tissue^ivory^pearl^off-white^cram^grind_away^drum^bone_up^swot^get_up^mug_up^swot_up^debone
she,
therefore,hence^thence^thus^so^consequently
leave,leave_of_absence^farewell^leave-taking^parting^go_forth^go_away^leave_alone^leave_behind^exit^go_out^get_out^allow_for^allow^provide^result^lead^depart^pull_up_stakes^entrust^bequeath^will^impart^give^pass_on^forget
father,male_parent^begetter^forefather^sire^Father^Padre^Church_Father^Father_of_the_Church^Father-God^Fatherhood^founder^beginner^founding_father^don^beget^get^engender^mother^generate^bring_forth
mother,female_parent^fuss^overprotect^beget^get^engender^father^sire^generate^bring_forth
join,articulation^joint^juncture^junction^union^sum^fall_in^get_together^bring_together^conjoin^connect^link^link_up^unite
wife,married_woman
both,
naked,bare^au_naturel^nude^defenseless^raw
ashamed,
serpent,snake^ophidian
more,More^Thomas_More^Sir_Thomas_More^more_than^to_a_greater_extent
subtle,elusive^insidious^pernicious
than,
any,whatever^whatsoever
